key,fare_amount
2010-03-06 21:13:04.0000003,10.1
2010-03-10 16:19:00.000000128,3.7
2014-02-27 08:50:19.0000006,11.0
2011-07-25 12:48:00.00000074,6.9
2014-07-23 10:16:44.0000001,20.5
2015-03-27 20:55:48.0000003,16.5
2009-03-04 19:38:00.000000250,5.7
2014-01-13 16:42:00.000000119,21.5
2010-05-10 12:22:18.0000002,6.9
2011-02-25 23:34:00.000000279,15.3
2011-04-02 21:31:32.0000006,6.9
2013-11-06 16:05:00.000000142,10.0
2014-08-02 00:31:41.0000002,6.5
2011-07-14 08:06:00.000000103,10.5
2012-02-13 00:09:04.0000002,6.9
2012-05-31 08:55:00.00000062,5.7
2014-05-02 01:23:00.00000088,11.5
2014-09-02 08:37:00.000000158,5.5
2009-12-11 06:36:25.0000001,4.9
2010-01-20 19:05:41.0000007,3.7
2011-06-05 09:19:00.00000027,29.3
2011-02-24 12:53:42.0000002,8.1
2014-02-10 19:11:00.0000001,30.83
2015-02-26 15:00:13.0000003,7.5
2010-07-29 21:39:00.000000257,6.1
2010-11-19 22:51:56.0000001,7.7
2011-06-04 22:28:13.0000001,20.9
2014-09-27 14:31:00.000000166,9.5
2013-01-18 20:56:08.0000001,5.0
2010-06-20 00:20:47.0000006,10.9
2012-01-07 11:06:00.000000101,6.9
2012-07-30 09:00:00.00000062,4.1
2014-12-11 21:13:00.00000041,8.0
2014-03-25 11:25:34.0000001,13.0
2012-04-18 15:41:31.0000002,4.9
2014-10-21 17:40:00.000000210,7.0
2009-01-09 17:30:00.000000187,5.7
2014-11-07 00:37:18.0000004,9.5
2011-10-26 00:38:25.0000002,11.7
2014-01-11 19:49:00.000000196,7.5
2011-04-29 09:11:00.00000065,10.9
2013-06-13 08:08:49.0000001,11.5
2015-05-15 15:38:49.0000001,13.5
2009-01-24 19:39:00.00000066,12.1
2009-05-21 10:22:00.000000137,7.3
2013-06-20 23:08:00.0000005,6.0
2014-01-30 16:17:28.0000003,5.5
2014-05-25 00:06:00.00000017,8.0
2009-09-21 22:32:13.0000001,4.9
2009-10-06 13:04:00.0000003,6.9
2010-04-25 13:57:21.0000005,6.9
2011-01-16 22:03:00.00000052,6.5
2011-03-06 14:00:00.00000095,4.1
2011-11-24 14:13:32.0000002,12.5
2013-03-31 02:16:00.0000009,17.5
2015-06-15 00:05:04.0000002,6.5
2013-08-18 00:05:00.000000178,12.0
2011-11-05 10:12:00.00000060,10.5
2013-09-16 15:37:23.0000005,6.5
2009-01-04 09:40:00.00000013,9.7
2010-04-22 09:11:46.0000003,8.1
2010-06-17 12:45:00.00000069,8.1
2011-12-02 07:54:58.0000001,8.9
2011-04-11 19:00:00.00000078,4.5
2014-06-14 00:05:06.0000007,9.0
2013-04-13 12:53:23.0000005,17.0
2013-04-25 12:30:00.000000150,9.0
2013-06-19 09:47:17.0000001,6.0
2014-07-28 09:26:00.00000058,5.5
2009-03-08 12:56:00.000000162,4.5
2012-10-05 21:01:00.000000247,55.5
2013-06-24 13:10:00.00000045,21.0
2011-12-19 22:59:25.0000001,8.5
2012-04-24 21:50:00.000000119,8.1
2013-03-16 01:00:48.0000006,8.5
2013-03-28 23:20:00.000000178,5.5
2013-10-02 23:29:44.0000002,5.0
2010-01-09 09:19:00.00000060,8.9
2012-08-01 21:31:06.0000007,6.1
2013-08-05 20:32:00.00000081,9.5
2014-03-13 06:07:31.0000001,30.0
2009-11-29 14:56:00.000000153,6.9
2013-12-20 19:39:00.00000063,7.0
2014-06-17 14:11:00.00000073,9.0
2012-07-26 08:29:00.00000032,6.1
2013-04-02 08:16:00.0000001,7.5
2013-06-03 07:15:00.000000120,8.5
2013-07-13 14:18:00.000000157,8.0
2014-04-17 20:04:59.0000002,19.5
2012-10-10 08:40:58.0000001,12.0
2013-11-05 12:55:00.000000130,14.0
2013-12-28 16:15:33.0000001,8.5
2015-03-02 16:37:31.0000006,5.5
2010-10-18 06:34:50.0000001,6.9
2011-09-10 13:09:00.00000062,4.9
2011-12-16 23:57:04.0000002,4.9
2012-01-05 17:31:00.000000197,6.5
2015-05-01 13:18:18.0000001,15.0
2014-06-28 02:10:00.000000176,4.5
2014-10-28 14:05:00.000000154,11.5
2015-01-07 20:02:48.0000003,7.0
2009-05-10 01:41:00.00000033,25.3
2014-02-20 05:27:09.0000001,27.5
2014-09-26 11:20:00.00000031,13.5
2009-08-02 01:33:00.000000138,11.7
2011-08-09 12:47:27.0000007,9.3
2014-12-20 18:20:00.000000202,57.33
2013-11-03 09:07:31.0000003,13.0
2013-07-25 10:43:00.000000137,9.0
2012-12-18 20:33:00.00000084,11.0
2013-05-15 07:40:00.00000055,7.5
2012-04-16 16:59:00.00000087,2.9
2012-07-26 22:48:00.00000015,3.7
2010-08-25 03:38:40.0000001,13.3
2012-01-28 21:03:03.0000001,8.5
2014-12-09 02:11:00.00000037,18.0
2010-08-19 09:27:08.0000001,5.7
2011-07-12 23:35:00.000000147,9.7
2011-09-18 10:19:00.00000096,7.3
2013-09-10 20:18:44.0000001,7.0
2014-05-30 10:03:00.00000078,7.5
2009-05-30 21:01:42.0000007,10.1
2010-09-08 10:56:00.00000088,9.3
2009-02-01 11:31:40.0000001,7.7
2010-07-29 22:11:18.0000004,6.1
2012-07-19 15:49:51.0000004,4.1
2013-11-30 01:37:00.00000077,9.0
2013-12-14 09:55:04.0000004,16.5
2013-12-21 11:25:50.0000002,9.5
2015-06-06 03:08:18.0000007,8.5
2011-01-06 10:13:23.0000001,8.5
2012-08-28 09:42:14.0000003,7.7
2012-09-09 19:05:00.000000208,14.0
2015-05-09 02:15:30.0000001,23.0
2010-03-23 08:20:00.000000215,9.3
2009-01-22 13:43:00.00000098,4.9
2013-02-08 19:48:42.0000002,6.5
2010-11-15 10:46:00.00000056,9.7
2009-12-05 15:23:26.0000002,10.9
2011-10-24 18:14:00.000000107,10.5
2013-03-03 19:41:25.0000005,4.5
2014-12-05 20:08:00.00000067,17.5
2011-02-20 00:20:34.0000003,8.5
2012-08-01 14:51:58.0000003,4.5
2013-04-27 09:41:00.000000151,5.0
